"Question","Answer","Category"
"How do I switch from one race distance or sub-event to another?","<p>Go to the <a href=""https://raceroster.com/events/2026/113171/2026-firstenergy-akron-marathon-half-marathon-and-team-relay"">event registration page</a> and choose <strong>Transfer</strong>. After signing in to Race Roster, select the option to transfer to a new sub-event and follow the prompts.</p><p>A $10 transfer fee applies, plus any increase in registration price. Sub-event transfers close 45 days before the event.</p>","Akron Marathon"
"Can I transfer my race entry to another person?","<p>Yes. From the event registration page, choose <strong>Transfer</strong>, sign in to Race Roster, and select the option to transfer to a new participant.</p><p>The new participant pays a $10 transfer fee. The original participant does not receive a refund, and any exchange of money between participants is handled privately. Transfers close 45 days before the event.</p>","Akron Marathon"
"If I am injured, can I get a refund or defer my registration?","<p>If you purchased registration insurance, you may submit a claim through the insurance provider at <a href=""https://requestmyrefund.com/regshield/refund"">requestmyrefund.com</a>.</p><p>Without registration insurance, the event's policy does not provide refunds or deferments.</p>","Akron Marathon"
"What race distances are offered in September?","<ul><li>Full Marathon</li><li>Half Marathon</li><li>Team Relay</li><li>Kids Fun Run</li></ul>","Akron Marathon"
"Are walkers allowed?","<p>There is no separate walking division.</p><ul><li><strong>Marathon:</strong> The course remains officially open for 6.5 hours after the final starter, approximately a 15:00-per-mile pace.</li><li><strong>Half Marathon:</strong> The course remains open for 3.5 hours, approximately a 16:00-per-mile pace.</li></ul><p>Participants who fall behind the required pace must move to the sidewalk as roads reopen, and runner services are not guaranteed beyond those pace limits.</p>","Akron Marathon"
"What is the time limit for each race?","<ul><li><strong>Full Marathon:</strong> 6.5-hour limit with a continuous pace requirement of approximately 15:00 per mile.</li><li><strong>Half Marathon:</strong> 3.5-hour limit with a continuous pace requirement of approximately 16:00 per mile.</li></ul><p>Participants who cannot maintain the required pace may need to move to the sidewalk or use the SAG bus as roads reopen. Runner services are not guaranteed after the stated pace limits.</p>","Akron Marathon"
"What is the course elevation?","<ul><li><strong>Marathon:</strong> 1,003 / -1,017</li><li><strong>Half Marathon:</strong> 409 / -423</li><li><strong>Relay Leg 1:</strong> 280 / -220</li><li><strong>Relay Leg 2:</strong> 134 / -218</li><li><strong>Relay Leg 3:</strong> 120 / -268</li><li><strong>Relay Leg 4:</strong> 281 / -66</li><li><strong>Relay Leg 5:</strong> 188 / -245</li></ul>","Akron Marathon"
"What running surfaces are used on the course?","<p>The course includes paved asphalt, concrete streets, and crushed limestone.</p>","Akron Marathon"
"Can I drive the entire course?","<p>No. Some sections are restricted to runners on race day, and other portions use routing that runs against normal traffic, so the full course is not completely drivable.</p>","Akron Marathon"
"Are pace teams available?","<p>Yes. Pacers are available for many Boston Marathon qualifying times and follow the Full Marathon course. Half Marathon participants may run with a pace team until the courses split around mile 12.5.</p><p>Pacers maintain a steady pace to help runners target a specific finish time.</p>","Akron Marathon"
"Can I wear headphones during the race?","<p>Portable listening devices are permitted but are not recommended. Runners must remain aware of their surroundings and be able to hear instructions from race officials and nearby participants.</p><p>Athletes competing for prize money or overall awards may not wear headphones; doing so can affect eligibility for overall awards, masters awards, and event records.</p>","Akron Marathon"
"Can an unregistered friend or family member run with me near the finish?","<p>No. Unregistered runners may not run or walk within the official course boundaries. Outside pacing can be considered assistance under USATF rules and may result in disqualification.</p><p>Friends and family may cheer from beside the course but should not cross the finish line or enter the finish area.</p>","Akron Marathon"
"Are wheelchairs, strollers, or other special vehicles allowed?","<p>The September Wheelchair Division permits push-rim racing chairs. Handcycles are not permitted because of course restrictions.</p><p>Other prohibited items include:</p><ul><li>Pets</li><li>Skateboards</li><li>Scooters</li><li>Bicycles</li><li>Roller blades</li><li>Strollers</li><li>Baby joggers</li><li>Baby carriers</li><li>Other non-official vehicles</li></ul>","Akron Marathon"
"What awards are offered for each event?","<ul><li><strong>Marathon:</strong> Top three men's and women's overall; top three men's and women's masters; top three non-binary overall; and top three men's and women's age groups.</li><li><strong>Half Marathon:</strong> The same categories.</li><li><strong>Team Relay:</strong> Top three men's, women's, and mixed teams, plus top three men's, women's, and mixed masters teams.</li></ul><p>Awards identified for mailing are generally sent 6&ndash;8 weeks after the race.</p>","Akron Marathon"
"Can a participant receive both overall and masters awards?","<p>For Marathon and Half Marathon categories that include prize money, masters athletes may receive both overall and masters awards when they place in both.</p><p>Top-three overall and masters finishers are removed from age-group award consideration.</p>","Akron Marathon"
"What age qualifies as Masters?","<p>Masters athletes must be at least 40 years old on race day.</p>","Akron Marathon"
"What are the age groups for awards?","<p>Age groups are:</p><ul><li>19 and under</li><li>20&ndash;24</li><li>25&ndash;29</li><li>30&ndash;34</li><li>35&ndash;39</li><li>40&ndash;44</li><li>45&ndash;49</li><li>50&ndash;54</li><li>55&ndash;59</li><li>60&ndash;64</li><li>65&ndash;69</li><li>70&ndash;74</li><li>75&ndash;79</li><li>80+</li></ul><p>Awards are mailed; allow approximately 6&ndash;8 weeks. Virtual participants are not included in awards because virtual results are unofficial.</p>","Akron Marathon"
"Why does registration ask for both sex and gender?","<p>The race uses sex-related registration information to align competition and award administration with USA Track &amp; Field and World Athletics rules. Gender identity is collected separately to support inclusive participation.</p><p>Men's and Women's Divisions are classified by sex, while participants choosing the Non-Binary Division are eligible for first- through third-place awards.</p>","Akron Marathon"
