"Question","Answer","Category"
"Will our runners get a discounted race entry as part of the program?","<p>No. There is no registration discount for Blue Line Charity Program participants. However, the earlier you register, the better the registration rate will be.</p>","Charity Program"
"What is the best way to promote our partnership?","<p>View the <a href=""https://www.akronmarathon.org/charity-toolkits/"">Charity Toolkits</a>.</p><p>Promote your involvement in the Charity Partner program through social media, your website, email campaigns, word of mouth, and any other appropriate channels.</p>","Charity Program"
"Are there any special hashtags or handles we should use on Social Media?","<p>Yes. When promoting on social media, tag Akron Marathon so its followers can see your message as well. Akron Marathon can be found on <a href=""https://www.facebook.com/runAkron/"">Facebook</a>, <a href=""https://www.youtube.com/"">YouTube</a>, <a href=""https://twitter.com/AkronMarathon"">X</a>, <a href=""https://www.linkedin.com/company/akron-marathon-charitable-corporation"">LinkedIn</a>, and Instagram. Use <strong>#runAkron</strong> on your posts.</p>","Charity Program"
"Does the Akron Marathon keep any of the money my organization raises?","<p>No. All funds raised go directly to the charity through Race Roster.</p>","Charity Program"
"Does my organization have to use Race Roster?","<p>Yes. To participate in the Blue Line Charity Program, you must fundraise through Race Roster. When runners register, they are automatically provided a fundraising page and can choose which charity they would like to support.</p>","Charity Program"
"How will we receive our donations?","<p>When you become a Blue Line Charity Partner, you will set up your fundraising page on Race Roster and create a payment profile. The payment profile includes your bank information, which Race Roster uses to electronically send the donations you receive.</p>","Charity Program"
"Do I have to set up a payment profile? Can Race Roster just send me a check instead?","<p>Yes. You must set up a payment profile. Race Roster needs to know where to send the funds, and due to compliance requirements, the funds must go directly to the charity. Donations are held until the charity provides banking details so Race Roster can release the funds. Race Roster does not issue checks.</p>","Charity Program"
"Are there fees associated with using Race Roster?","<p>Yes. Race Roster charges 6.5% + $0.85. These fees cover the administrative costs and credit card fees Race Roster incurs for providing this service.</p>","Charity Program"
"Some of our donors prefer not to donate online, do their donations by cash or check still count?","<p>Yes. You can manually log those donations on Race Roster so they are reflected in your total. See the <a href=""https://help.raceroster.com/en-us/knowledge-base/how-do-i-enter-manual/offline-donations"">step-by-step guide for entering manual/offline donations</a>.</p>","Charity Program"
"Is there a minimum that must be raised?","<p>No. There is no minimum fundraising requirement.</p>","Charity Program"
"How should my runners fundraise?","<p>When runners register, they are automatically provided a fundraising page in Race Roster and can choose which charity they would like to support. Through Race Roster, fundraisers can email potential donors, post to social media, and track the funds they have raised.</p><p>Blue Line Charity Partners should rely primarily on their runners for fundraising efforts. The program provides nonprofit organizations with a platform to fundraise without having to plan a separate fundraising event. Organizations are encouraged to create incentives for runners who fundraise on their behalf.</p>","Charity Program"
"Do my runners have a fundraising requirement?","<p>No. There is no fundraising requirement for runners. However, runners are incentivized based on the amount of money they raise.</p>","Charity Program"
"What are the fundraising incentive levels for runners?","<ul><li><strong>$500:</strong> Badge on fundraising page</li><li><strong>$1,000:</strong> Badge on fundraising page; free medal engraving</li><li><strong>$2,500:</strong> Badge on fundraising page; free medal engraving; VIP Packet Pick Up</li><li><strong>$5,000:</strong> Badge on fundraising page; free medal engraving; VIP Packet Pick Up; VIP Start Line restroom access; race entry to 2027 race of choice</li></ul>","Charity Program"
"When do fundraising totals need to be turned in?","<p>Fundraising through Race Roster will remain open through October 31. All offline donations must also be logged on Race Roster by October 31.</p>","Charity Program"
